,User-ID,ISBN,Book-Title,Book-Rating,Book-Author,Year-Of-Publication
9,11676,399135782,The Kitchen God's Wife,9,Amy Tan,1991
26,243,440234743,The Testament,0,John Grisham,1999
28,2977,440234743,The Testament,0,John Grisham,1999
30,3363,440234743,The Testament,0,John Grisham,1999
33,7346,440234743,The Testament,9,John Grisham,1999
36,9747,440234743,The Testament,0,John Grisham,1999
37,9856,440234743,The Testament,0,John Grisham,1999
39,11676,440234743,The Testament,9,John Grisham,1999
80,1435,971880107,Wild Animus,5,Rich Shapero,2004
82,1733,971880107,Wild Animus,1,Rich Shapero,2004
84,1903,971880107,Wild Animus,0,Rich Shapero,2004
87,2766,971880107,Wild Animus,6,Rich Shapero,2004
89,2977,971880107,Wild Animus,0,Rich Shapero,2004
91,3363,971880107,Wild Animus,0,Rich Shapero,2004
105,5543,971880107,Wild Animus,0,Rich Shapero,2004
112,6251,971880107,Wild Animus,0,Rich Shapero,2004
115,6543,971880107,Wild Animus,0,Rich Shapero,2004
117,7125,971880107,Wild Animus,0,Rich Shapero,2004
118,7158,971880107,Wild Animus,0,Rich Shapero,2004
119,7286,971880107,Wild Animus,0,Rich Shapero,2004
128,8681,971880107,Wild Animus,0,Rich Shapero,2004
152,11676,971880107,Wild Animus,6,Rich Shapero,2004
166,277427,971880107,Wild Animus,0,Rich Shapero,2004
217,2766,446310786,To Kill a Mockingbird,10,Harper Lee,1988
219,4017,446310786,To Kill a Mockingbird,10,Harper Lee,1988
222,7346,446310786,To Kill a Mockingbird,0,Harper Lee,1988
226,8253,446310786,To Kill a Mockingbird,10,Harper Lee,1988
227,8362,446310786,To Kill a Mockingbird,0,Harper Lee,1988
232,10314,446310786,To Kill a Mockingbird,9,Harper Lee,1988
233,11601,446310786,To Kill a Mockingbird,10,Harper Lee,1988
234,11676,446310786,To Kill a Mockingbird,0,Harper Lee,1988
237,278418,446310786,To Kill a Mockingbird,0,Harper Lee,1988
301,243,440225701,The Street Lawyer,0,JOHN GRISHAM,1999
307,7346,440225701,The Street Lawyer,10,JOHN GRISHAM,1999
310,9856,440225701,The Street Lawyer,0,JOHN GRISHAM,1999
312,11676,440225701,The Street Lawyer,8,JOHN GRISHAM,1999
314,277427,440225701,The Street Lawyer,0,JOHN GRISHAM,1999
319,278418,440225701,The Street Lawyer,0,JOHN GRISHAM,1999
